,Interest Score,HST,SPY,XTN,sentiment,total_cases,new_cases,total_deaths,new_deaths,S&P 500 Daily Movement
2020-11-04,49,-0.03427068008794254,0.022349224155303826,-0.004298266308744747,neutral,9587636.0,104541.0,235474.0,1116.0,pos
2020-11-05,49,-0.005459460163053098,0.019502769758408034,0.033372109438934316,neutral,9717003.0,129367.0,236633.0,1159.0,pos
2020-11-06,49,-0.04025622340095081,-0.00022837646898088426,-0.009961483448939767,neutral,9845036.0,128033.0,237864.0,1231.0,neg
2020-11-09,78,0.30028604775353784,0.012565666696560118,0.07286598111483378,neutral,10208150.0,120434.0,240297.0,779.0,pos
2020-11-10,78,-0.01906159987811984,-0.0014665755224853028,0.004537937513055201,neutral,10348654.0,140504.0,241716.0,1419.0,neg
2020-11-11,78,-0.04185354370903893,0.007428552760524454,-0.014455754569020263,neutral,10495404.0,146750.0,243150.0,1434.0,pos
2020-11-12,78,-0.04758187762855559,-0.009700905157134287,-0.019556895935520013,neutral,10660154.0,164750.0,244358.0,1208.0,neg
2020-11-13,78,0.08517608178573455,0.01384449694724843,0.03381639755126975,neutral,10840552.0,180398.0,245560.0,1202.0,pos
2020-11-16,100,0.036226380546138026,0.0124825499707224,0.030147725511068257,neutral,11307458.0,162624.0,248518.0,834.0,pos
2020-11-17,100,0.029861676238602808,-0.005378305341422029,0.0024876471678354495,negative,11471416.0,163958.0,250237.0,1719.0,neg
2020-11-18,100,0.0007071623030221463,-0.012034818913688627,-0.0016056138800408792,neutral,11644667.0,173251.0,252156.0,1919.0,neg
2020-11-19,100,0.021201427478626522,0.004210171789433614,0.001608196021895436,neutral,11836177.0,191510.0,254213.0,2057.0,pos
2020-11-20,100,-0.020761259148426192,-0.006847817696322922,-0.01488839936733155,neutral,12034510.0,198333.0,256169.0,1956.0,neg
2020-11-23,80,0.03957600245326831,0.00599444168323604,0.018817666508516906,negative,12534982.0,174089.0,259925.0,1099.0,pos
2020-11-24,80,0.008157708038605715,0.016113718747035932,0.03635834674709404,neutral,12710526.0,175544.0,262056.0,2131.0,pos
2020-11-25,80,-0.006743114091988245,-0.0015417585945479706,-0.00449059339364688,neutral,12893929.0,183403.0,264315.0,2259.0,neg
2020-11-27,80,-0.007467729809619961,0.0027850045646777843,-0.0040879744227084736,positive,13214388.0,207933.0,267254.0,1551.0,pos
2020-11-30,78,-0.04035568790740307,-0.004427133966767305,-0.014437427465409325,neutral,13670698.0,160321.0,271006.0,1348.0,neg
2020-12-01,78,0.03421243799332507,0.010937390161245952,0.00976591026854301,neutral,13859037.0,188339.0,273557.0,2551.0,pos
2020-12-02,78,0.02687797267378067,0.002103763604072606,0.006826957383031962,neutral,14061931.0,202894.0,276372.0,2815.0,pos
2020-12-03,78,0.014093962652576675,-0.00027265220203887,0.015538896170289807,neutral,14285352.0,223421.0,279316.0,2944.0,neg
2020-12-04,78,0.03573792019342603,0.008617643352887283,0.014605690091423318,neutral,14517996.0,232644.0,282017.0,2701.0,pos
