,Interest Score,HST,SPY,XTN,sentiment,Principal Component 1,S&P 500 Daily Movement
2020-10-07,56,0.027433580593791307,0.017406673685050666,0.023925897559403442,neutral,-1216959.3460002,pos
2020-10-08,56,0.020671897664910732,0.008862510057295214,0.012835260382118685,neutral,-1158309.0101383054,pos
2020-10-09,56,-0.022784848022948667,0.00893015107080064,0.004711631504825897,neutral,-1101930.6933863554,pos
2020-10-12,48,-0.007772033953441282,0.016087606959996226,-0.002425639157645265,neutral,-959303.9471693805,pos
2020-10-13,48,-0.027850278607366552,-0.006526084160733192,-0.010374443246807696,neutral,-907006.5795645043,neg
2020-10-14,48,-0.01969563702114152,-0.006283415235342593,0.008517616122229343,neutral,-847177.3985385344,neg
2020-10-15,48,0.006392753398891005,-0.0012358597557926565,0.004060419055370135,neutral,-782263.416712682,neg
2020-10-16,48,-0.006352145697890554,-0.0006042919570593552,-0.01099968147092556,neutral,-713086.2457047253,neg
2020-10-19,52,-0.025570752314924672,-0.015203428401004304,-0.00981351782974793,neutral,-539248.3393434929,neg
2020-10-20,52,0.010309246100348002,0.004005716435394158,0.018665299575972627,neutral,-477320.1451767809,pos
2020-10-21,52,0.02411876023397408,-0.0018929287880528056,-0.01037780782634623,negative,-414002.65041678067,neg
2020-10-22,52,0.039855034592721994,0.005485292518808249,0.026052763958554603,neutral,-337613.2156595995,pos
2020-10-23,52,0.013937352566762984,0.003395181444149742,0.006228032518375892,neutral,-255643.57101767496,pos
2020-10-26,56,-0.038659858218783816,-0.018479912526513598,-0.03126483825556026,neutral,-43446.65254036699,neg
2020-10-27,56,-0.029490610909812975,-0.0034474008581141247,-0.019823051545283632,negative,33451.648947666414,neg
2020-10-28,56,-0.03775320997915699,-0.03417892944495127,-0.039779391530619934,neutral,112897.94936065213,neg
2020-10-29,56,0.00669862677284172,0.010163495031527914,0.026457796998746286,neutral,203987.84425292164,pos
2020-10-30,56,-0.003802368230680364,-0.010424881286366094,-0.006783135791058381,neutral,303302.92763660534,neg
2020-11-02,49,0.043893135328211486,0.011208438679286337,0.006487981391415598,neutral,583078.9420080169,pos
2020-11-03,49,0.04021942878741869,0.017655924762989716,0.026123848949896944,neutral,710529.3514170696,pos
2020-11-04,49,-0.03427068008794254,0.022349224155303826,-0.004298266308744747,neutral,814941.0419357718,pos
2020-11-05,49,-0.005459460163053098,0.019502769758408034,0.033372109438934316,neutral,944453.4970509155,pos
2020-11-06,49,-0.04025622340095081,-0.00022837646898088426,-0.009961483448939767,neutral,1072480.412680605,neg
2020-11-09,78,0.30028604775353784,0.012565666696560118,0.07286598111483378,neutral,1435538.6833205454,pos
2020-11-10,78,-0.01906159987811984,-0.0014665755224853028,0.004537937513055201,neutral,1576162.8818008546,neg
2020-11-11,78,-0.04185354370903893,0.007428552760524454,-0.014455754569020263,neutral,1722951.672725428,pos
2020-11-12,78,-0.04758187762855559,-0.009700905157134287,-0.019556895935520013,neutral,1887803.2631060726,neg
2020-11-13,78,0.08517608178573455,0.01384449694724843,0.03381639755126975,neutral,2068286.9542942767,pos
2020-11-16,100,0.036226380546138026,0.0124825499707224,0.030147725511068257,neutral,2535071.9635974,pos
2020-11-17,100,0.029861676238602808,-0.005378305341422029,0.0024876471678354495,negative,2699042.1800261512,neg
2020-11-18,100,0.0007071623030221463,-0.012034818913688627,-0.0016056138800408792,neutral,2872353.6466865563,neg
2020-11-19,100,0.021201427478626522,0.004210171789433614,0.001608196021895436,neutral,3063976.1548941974,pos
2020-11-20,100,-0.020761259148426192,-0.006847817696322922,-0.01488839936733155,neutral,3262352.3903839057,neg
2020-11-23,80,0.03957600245326831,0.00599444168323604,0.018817666508516906,negative,3762673.2576869456,pos
2020-11-24,80,0.008157708038605715,0.016113718747035932,0.03635834674709404,neutral,3938234.9291638127,pos
2020-11-25,80,-0.006743114091988245,-0.0015417585945479706,-0.00449059339364688,neutral,4121693.8434478194,neg
2020-11-27,80,-0.007467729809619961,0.0027850045646777843,-0.0040879744227084736,positive,4442298.17843256,pos
2020-11-30,78,-0.04035568790740307,-0.004427133966767305,-0.014437427465409325,neutral,4898326.414381854,neg
2020-12-01,78,0.03421243799332507,0.010937390161245952,0.00976591026854301,neutral,5086842.968120549,pos
2020-12-02,78,0.02687797267378067,0.002103763604072606,0.006826957383031962,neutral,5289837.887034756,pos
2020-12-03,78,0.014093962652576675,-0.00027265220203887,0.015538896170289807,neutral,5513393.912448352,neg
2020-12-04,78,0.03573792019342603,0.008617643352887283,0.014605690091423318,neutral,5746101.941211649,pos
2020-12-07,86,-0.030670898015102033,-0.0020549134867724472,-0.005346851886408044,neutral,6337353.759081708,neg
2020-12-08,86,-0.0019775697310688845,0.00292616191324524,0.0028945427379629685,neutral,6561991.412007441,pos
2020-12-09,86,0.002642005346497056,-0.008968871609766116,0.0,neutral,6784647.676244573,neg
2020-12-10,86,-0.0230566781576671,-0.0003270958571379712,0.004398016567194185,neutral,7016141.781251148,neg
2020-12-11,86,-0.021577862202999287,-0.0011725879542904272,-0.010810083411788352,neutral,7256301.394781458,neg
2020-12-14,83,-0.03308066770083262,-0.004477161303609645,-0.019643078585717788,neutral,7856123.644336152,neg
2020-12-15,83,0.03421243799332507,0.01351942254777505,0.012699221978339503,neutral,8065221.136459658,pos
2020-12-16,83,-0.006202629301738205,0.0015693527844120592,-0.0026472735251280577,neutral,8312108.205874312,pos
2020-12-17,83,-0.009015264476637141,0.00559196242686677,0.00810284739058309,neutral,8551990.18040284,pos
2020-12-18,83,-0.013995787949547478,-0.008220496558328017,-0.0031874077780066346,neutral,8803903.61647657,neg
2020-12-21,87,-0.022711120749380864,-0.003575511540187981,-0.01167807540277066,neutral,9382432.073614921,neg
2020-12-22,87,-0.01089328737966877,-0.0016854105960858456,-0.004219938638587162,neutral,9580561.213723438,neg
2020-12-23,87,0.03083701026600294,0.0008986414840963519,0.009040816236351557,neutral,9810391.043374576,pos
2020-12-24,87,0.011396000558891117,0.003890395427502691,-0.0005600016149579501,neutral,10004357.107723646,pos
2020-12-28,87,0.025352155999091686,0.008590822297383172,0.0022412615699303196,neutral,10658549.193824572,pos
2020-12-29,87,-0.014423079127390603,-0.0019077893087540154,-0.007127912152030902,neutral,10859139.38923721,neg
2020-12-30,87,0.01742160232433343,0.0014267990940848296,0.00633441641952226,neutral,11093060.935693229,pos
2020-12-31,87,0.0020547761772162776,0.005080821253407031,-0.00167848819097971,neutral,11328693.383833615,pos
